"edad" "desplazado_municipio" "anios_viviendo_municipio" "razon_desplazamiento" "padre_vive_hogar" "satisfecho" "ingreso_economico" "salud" "nivel_seguridad" "trabajo" "feliz" "tranquilidad" "vale_vivir" "ninos" "hogares_completos"
"360" 47 "1" 47 "0" "3" 9 9 9 9 9 10 10 10 1 1
"361" 59 "2" 2 "9" "3" 8 8 9 9 9 8 9 9 1 1
"362" 33 "1" 33 "0" "2" 10 10 10 10 10 10 10 10 1 1
"363" 38 "1" 38 "0" "3" 9 9 9 8 8 8 8 9 1 1
"364" 41 "2" 2 "9" "2" 8 5 7 6 7 6 5 8 1 1
"365" 77 "1" 77 "0" "3" 9 8 6 10 8 10 9 10 2 1
"366" 51 "1" 51 "0" "2" 7 8 8 7 8 9 10 10 1 1
"367" 30 "1" 30 "0" "2" 10 8 9 2 5 8 8 10 2 1
"368" 37 "2" 2 "9" "2" 9 9 8 7 9 8 8 10 1 1
"369" 51 "2" 2 "3" "3" 6 6 6 8 8 5 4 9 2 1
"370" 37 "1" 37 "0" "2" 8 5 10 9 4 10 7 9 3 1
"371" 42 "1" 42 "0" "2" 9 4 9 9 6 9 9 10 2 1
"372" 48 "1" 48 "0" "3" 8 8 7 5 5 8 8 9 2 1
"373" 49 "1" 49 "0" "3" 6 5 5 5 8 9 7 9 2 1
"374" 32 "1" 32 "0" "3" 7 4 7 8 8 8 6 10 2 1
"375" 49 "1" 49 "0" "3" 6 6 6 10 0 6 10 10 1 1
"376" 34 "1" 34 "0" "2" 10 8 10 8 10 9 9 10 1 1
"377" 31 "1" 31 "0" "2" 8 9 10 8 0 7 8 10 2 1
"378" 51 "1" 51 "0" "3" 10 10 10 7 8 10 10 10 1 1
"379" 61 "1" 61 "0" "3" 10 7 6 7 6 5 6 10 3 1
"380" 36 "1" 36 "0" "2" 10 10 10 10 10 10 10 10 1 1
"381" 32 "1" 32 "0" "2" 10 10 10 10 10 8 8 10 3 1
"382" 37 "1" 37 "0" "3" 10 10 10 10 10 10 10 10 2 1
"383" 30 "1" 30 "0" "3" 9 9 10 8 10 10 8 10 2 1
"384" 43 "1" 43 "0" "3" 10 10 10 10 10 10 10 10 3 1
"385" 28 "2" 2 "9" "2" 10 10 10 10 10 10 10 10 2 1
"386" 84 "1" 84 "0" "3" 10 9 9 10 10 10 10 10 3 1
"387" 24 "2" 2 "1" "2" 10 9 10 10 10 10 10 10 1 1
"388" 56 "1" 56 "0" "3" 10 8 6 6 7 10 10 10 1 1
"389" 56 "1" 56 "0" "3" 5 0 7 6 0 6 6 6 1 1
"390" 41 "1" 41 "0" "2" 8 6 7 7 7 7 8 7 2 1
"391" 61 "1" 61 "0" "3" 10 10 2 10 7 8 7 10 1 1
"392" 47 "2" 2 "1" "2" 10 0 1 5 5 10 5 10 3 1
"393" 54 "1" 54 "0" "2" 10 5 10 7 7 0 10 10 1 1
"394" 44 "2" 2 "9" "1" 10 10 10 10 10 10 10 10 2 1
"395" 77 "1" 77 "0" "3" 8 8 8 9 7 8 8 8 2 1
"396" 38 "2" 2 "8" "3" 8 9 8 8 9 7 8 7 1 1
"397" 63 "1" 63 "0" "3" 9 8 8 8 7 8 7 10 1 1
"398" 58 "2" 2 "0" "2" 7 8 8 7 8 8 8 8 2 1
"399" 64 "1" 64 "0" "3" 5 2 5 8 8 5 8 10 1 1
"400" 86 "1" 86 "0" "2" 8 5 4 5 0 4 5 7 1 1
"401" 59 "1" 59 "0" "3" 10 4 8 9 5 10 10 10 1 1
"402" 68 "2" 2 "9" "3" 10 8 8 8 8 9 9 10 1 1
"403" 24 "1" 24 "0" "2" 7 3 9 8 8 9 8 8 1 1
"404" 56 "2" 2 "5" "2" 5 6 0 7 5 0 0 7 1 1
"405" 50 "2" 2 "0" "3" 7 7 8 6 8 6 5 8 2 2
"406" 50 "2" 2 "0" "3" 7 7 8 6 8 6 5 8 2 2
"407" 50 "2" 2 "0" "3" 7 7 8 6 8 6 5 8 2 2
"408" 50 "2" 2 "0" "3" 7 7 8 6 8 6 5 8 2 2
"409" 30 "1" 30 "0" "2" 9 2 8 8 7 4 7 8 2 2
"410" 30 "1" 30 "0" "2" 9 2 8 8 7 4 7 8 2 2
"411" 30 "1" 30 "0" "2" 9 2 8 8 7 4 7 8 2 2
"412" 30 "1" 30 "0" "2" 9 2 8 8 7 4 7 8 2 2
"413" 65 "1" 65 "0" "3" 9 2 9 8 2 9 8 7 2 1
"414" 59 "1" 59 "0" "3" 8 8 8 8 8 8 7 7 1 1
"415" 66 "2" 2 "8" "2" 5 5 5 8 5 5 4 9 1 1
"416" 61 "2" 2 "8" "2" 10 6 7 7 7 7 7 10 1 1
"417" 35 "1" 35 "0" "2" 10 8 10 9 0 10 10 10 2 1
"418" 36 "2" 2 "7" "2" 8 7 10 8 7 7 9 9 1 1
"419" 51 "2" 2 "0" "3" 9 10 5 5 9 5 5 9 1 1
"420" 23 "2" 2 "9" "3" 7 7 10 10 5 10 5 7 3 1
"421" 66 "2" 2 "7" "3" 10 10 8 8 10 9 8 10 1 1
"422" 31 "1" 31 "0" "3" 9 5 10 8 7 9 10 10 3 1
"423" 38 "1" 38 "0" "3" 5 5 8 5 10 4 3 10 2 1
"424" 58 "1" 58 "0" "2" 10 10 10 7 10 10 10 10 1 1
"425" 72 "1" 72 "0" "3" 8 8 7 5 8 7 7 9 1 1
"426" 71 "1" 71 "0" "3" 10 10 5 10 10 10 10 8 1 1
"427" 50 "1" 50 "0" "3" 0 0 4 2 5 10 10 8 3 1
"428" 35 "2" 2 "3" "3" 5 5 10 9 8 8 8 5 2 1
"429" 78 "1" 78 "0" "3" 5 7 4 7 3 4 7 8 1 1
"430" 60 "2" 2 "8" "3" 6 0 4 5 0 8 10 8 3 1
"432" 36 "1" 36 "0" "2" 10 8 9 8 10 3 3 10 2 1
"433" 73 "1" 73 "0" "3" 8 9 3 3 8 8 8 8 2 1
"434" 53 "2" 2 "9" "2" 8 0 9 0 8 9 9 10 2 1
"435" 45 "2" 2 "5" "3" 8 5 8 3 5 9 8 7 1 1
"436" 32 "1" 32 "0" "2" 7 0 8 6 7 8 8 8 3 1
"437" 69 "2" 2 "1" "3" 5 4 5 3 4 2 5 9 1 1
"438" 52 "1" 52 "0" "2" 10 5 5 7 7 4 4 10 1 1
"439" 72 "1" 72 "0" "3" 10 5 6 6 4 6 6 7 2 1
"440" 73 "2" 2 "5" "3" 10 10 10 8 10 10 10 8 1 1
"441" 45 "1" 45 "0" "2" 6 4 8 5 4 4 3 10 3 1
"442" 30 "1" 30 "0" "2" 10 10 10 10 10 5 5 10 1 1
"443" 75 "1" 75 "0" "3" 6 5 7 4 5 6 4 7 1 1
"444" 65 "1" 65 "0" "3" 7 6 4 6 6 7 5 9 1 1
"445" 27 "2" 2 "8" "3" 10 6 3 8 6 8 7 7 2 1
"446" 34 "1" 34 "0" "2" 9 9 9 5 3 8 8 9 2 1
"447" 65 "1" 65 "0" "3" 7 7 6 5 4 7 5 8 2 1
"448" 33 "1" 33 "0" "2" 8 5 9 8 6 9 8 9 1 1
"449" 25 "1" 25 "0" "3" 10 6 10 10 6 0 0 10 2 1
"450" 54 "1" 54 "0" "3" 0 2 2 4 6 3 3 8 1 1
"451" 38 "1" 38 "0" "3" 7 0 10 10 6 10 10 9 2 1
"452" 48 "1" 48 "0" "3" 4 9 0 10 10 5 8 10 6 1
"453" 69 "2" 2 "9" "3" 10 1 3 6 8 10 10 10 2 1
"454" 40 "2" 2 "3" "3" 9 7 10 10 10 0 5 6 4 1
"455" 66 "1" 66 "0" "3" 10 3 7 10 10 10 10 10 1 1
"456" 80 "2" 2 "5" "3" 10 10 10 10 10 10 10 10 1 1
"457" 51 "1" 51 "0" "2" 7 5 8 5 5 10 10 10 1 1
"458" 60 "1" 60 "0" "3" 10 2 5 8 7 10 10 10 2 1
"459" 33 "1" 33 "0" "2" 10 9 10 10 10 7 8 10 1 1
"460" 36 "2" 2 "1" "3" 8 9 8 8 8 9 8 9 2 1
"461" 47 "1" 47 "0" "2" 8 0 5 5 6 6 10 10 4 3
"462" 47 "1" 47 "0" "2" 8 0 5 5 6 6 10 10 4 3
"463" 47 "1" 47 "0" "2" 8 0 5 5 6 6 10 10 4 3
"464" 47 "1" 47 "0" "2" 8 0 5 5 6 6 10 10 4 3
"465" 47 "1" 47 "0" "2" 8 0 5 5 6 6 10 10 4 3
"466" 47 "1" 47 "0" "2" 8 0 5 5 6 6 10 10 4 3
"467" 47 "1" 47 "0" "2" 8 0 5 5 6 6 10 10 4 3
"468" 47 "1" 47 "0" "2" 8 0 5 5 6 6 10 10 4 3
"469" 47 "1" 47 "0" "2" 8 0 5 5 6 6 10 10 4 3
"470" 51 "1" 51 "0" "2" 8 4 5 5 10 8 8 10 4 3
"471" 51 "1" 51 "0" "2" 8 4 5 5 10 8 8 10 4 3
"472" 51 "1" 51 "0" "2" 8 4 5 5 10 8 8 10 4 3
"473" 51 "1" 51 "0" "2" 8 4 5 5 10 8 8 10 4 3
"474" 51 "1" 51 "0" "2" 8 4 5 5 10 8 8 10 4 3
"475" 51 "1" 51 "0" "2" 8 4 5 5 10 8 8 10 4 3
"476" 51 "1" 51 "0" "2" 8 4 5 5 10 8 8 10 4 3
"477" 51 "1" 51 "0" "2" 8 4 5 5 10 8 8 10 4 3
"478" 51 "1" 51 "0" "2" 8 4 5 5 10 8 8 10 4 3
"479" 77 "1" 77 "0" "3" 10 9 9 9 8 10 10 10 1 1
"480" 63 "2" 2 "2" "3" 10 9 5 10 10 10 10 10 1 1
"481" 76 "2" 2 "3" "3" 9 8 7 8 8 9 8 9 1 1
"482" 24 "1" 24 "0" "2" 10 9 10 8 8 10 6 10 1 1
"483" 59 "1" 59 "0" "3" 9 9 9 9 6 8 8 8 2 1
"484" 60 "1" 60 "0" "2" 9 8 8 7 6 10 10 10 1 1
"485" 49 "1" 49 "0" "2" 10 10 10 10 10 10 10 10 1 1
"486" 59 "1" 59 "0" "2" 9 8 9 8 8 8 8 10 1 1
"487" 58 "1" 58 "0" "3" 8 8 8 8 8 5 5 9 1 1
"488" 32 "2" 2 "8" "2" 10 10 10 10 10 8 5 10 2 1
"489" 69 "1" 69 "0" "3" 7 9 6 7 4 6 8 7 4 2
"490" 69 "1" 69 "0" "3" 7 9 6 7 4 6 8 7 4 2
"491" 69 "1" 69 "0" "3" 7 9 6 7 4 6 8 7 4 2
"492" 69 "1" 69 "0" "3" 7 9 6 7 4 6 8 7 4 2
"493" 56 "1" 56 "0" "3" 7 6 7 7 6 5 6 8 1 1
"494" 43 "1" 43 "0" "3" 5 5 8 8 5 5 5 10 1 1
"495" 75 "1" 75 "0" "3" 8 6 7 8 8 7 7 8 2 1
"496" 61 "1" 61 "0" "3" 9 9 6 7 2 4 4 9 3 1
"497" 64 "1" 64 "0" "3" 9 5 8 10 8 8 10 9 1 1
"498" 40 "1" 40 "0" "2" 7 4 9 8 7 2 5 10 2 1
"499" 45 "1" 45 "0" "2" 10 5 10 8 6 10 10 10 1 1
"500" 49 "1" 49 "0" "2" 9 8 9 8 8 6 6 10 3 1
"501" 65 "2" 2 "1" "3" 10 9 0 10 7 5 4 10 1 1
"502" 31 "1" 31 "0" "2" 9 5 10 10 5 7 10 9 1 1
"503" 45 "1" 45 "0" "3" 5 0 3 5 0 1 2 8 2 1
"504" 58 "2" 2 "9" "3" 5 5 4 6 4 6 8 6 2 1
"505" 41 "1" 41 "0" "2" 10 5 7 8 9 10 8 10 6 2
"506" 41 "1" 41 "0" "2" 10 5 7 8 9 10 8 10 6 2
"507" 41 "1" 41 "0" "2" 10 5 7 8 9 10 8 10 6 2
"508" 41 "1" 41 "0" "2" 10 5 7 8 9 10 8 10 6 2
"509" 33 "1" 33 "0" "2" 7 8 6 5 4 6 7 3 6 2
"510" 33 "1" 33 "0" "2" 7 8 6 5 4 6 7 3 6 2
"511" 33 "1" 33 "0" "2" 7 8 6 5 4 6 7 3 6 2
"512" 33 "1" 33 "0" "2" 7 8 6 5 4 6 7 3 6 2
"513" 26 "1" 26 "0" "2" 6 0 7 6 2 6 6 6 1 1
"514" 40 "1" 40 "0" "3" 8 8 6 8 8 6 0 8 2 1
"515" 63 "2" 2 "9" "3" 10 2 3 0 10 10 10 8 1 1
"516" 57 "1" 57 "0" "2" 7 5 8 8 8 8 8 8 2 1
"517" 53 "1" 53 "0" "3" 10 9 9 9 10 10 10 10 1 1
"518" 44 "1" 44 "0" "2" 10 4 5 5 7 7 10 10 3 1
"519" 46 "1" 46 "0" "2" 9 8 8 8 8 8 9 8 2 1
"520" 31 "2" 2 "3" "2" 6 3 8 7 4 5 5 10 1 1
"521" 58 "1" 58 "0" "3" 6 5 6 4 4 8 8 10 1 1
"522" 52 "2" 2 "8" "3" 9 0 0 7 0 5 0 10 1 1
"523" 52 "1" 52 "0" "3" 10 0 1 10 0 10 8 10 2 1
"524" 41 "2" 2 "8" "2" 7 0 0 0 8 0 0 10 2 1
"525" 91 "1" 91 "0" "3" 8 8 3 3 0 8 2 7 2 1
"526" 64 "2" 2 "9" "3" 9 6 8 9 9 9 9 10 1 1
"527" 68 "2" 2 "3" "3" 10 9 0 9 9 8 8 10 2 1
"528" 30 "2" 2 "3" "2" 4 0 4 9 9 3 2 8 4 1
"529" 55 "2" 2 "3" "3" 4 4 6 8 7 8 6 10 2 1
"530" 49 "1" 49 "0" "3" 10 8 8 5 9 5 5 10 1 1
"531" 31 "1" 31 "0" "2" 10 8 10 8 8 10 10 10 1 1
"532" 40 "2" 2 "3" "3" 10 8 8 2 9 10 7 10 3 1
"533" 65 "1" 65 "0" "3" 10 10 10 9 8 10 10 10 1 1
"534" 55 "1" 55 "0" "3" 8 7 7 6 3 5 5 5 1 1
"535" 46 "1" 46 "0" "3" 9 8 8 8 5 8 8 10 1 1
"536" 69 "1" 69 "0" "3" 5 5 5 7 6 7 7 10 1 1
"537" 49 "2" 2 "8" "2" 5 4 2 4 5 5 7 7 1 1
"538" 83 "1" 83 "0" "3" 9 9 6 7 6 8 8 8 2 1
"539" 36 "2" 2 "8" "2" 7 6 9 6 6 7 7 8 2 1
"540" 83 "2" 2 "5" "3" 8 9 7 5 7 9 9 9 1 1
"541" 60 "2" 2 "7" "3" 10 9 7 5 8 10 10 8 1 1
"542" 73 "1" 73 "0" "3" 10 2 9 9 9 10 10 10 1 1
"543" 56 "2" 2 "5" "3" 7 6 3 8 6 3 3 8 1 1
"544" 78 "1" 78 "0" "3" 10 7 8 8 8 8 8 10 1 1
"545" 43 "2" 2 "7" "3" 8 1 6 8 0 9 9 10 1 1
"546" 48 "2" 2 "6" "2" 0 0 0 6 0 5 3 10 1 1
"547" 42 "2" 2 "0" "2" 6 1 8 8 3 7 7 9 3 1
"548" 47 "1" 47 "0" "2" 9 8 9 7 8 9 9 8 1 1
"549" 43 "1" 43 "0" "3" 7 7 6 7 7 7 7 10 1 1
"550" 49 "1" 49 "0" "3" 7 7 6 7 3 2 3 8 1 1
"551" 72 "1" 72 "0" "3" 9 9 7 8 8 7 7 10 1 1
"552" 39 "1" 39 "0" "2" 8 9 7 7 8 9 9 8 2 1
"553" 88 "1" 88 "0" "3" 7 3 6 6 3 9 7 9 1 1
"554" 66 "1" 66 "0" "3" 10 10 5 5 8 5 10 10 1 1
"555" 80 "1" 80 "0" "3" 8 6 4 8 9 9 10 10 3 1
"556" 62 "1" 62 "0" "3" 8 9 6 8 6 6 5 6 2 1
"557" 42 "2" 2 "7" "2" 8 5 10 6 8 5 5 10 4 1
"558" 38 "2" 2 "5" "2" 10 2 6 10 5 7 9 10 4 1
"559" 41 "1" 41 "0" "2" 8 10 9 10 9 10 10 10 2 1
"560" 51 "1" 51 "0" "3" 8 7 8 7 8 9 7 10 1 1
"561" 90 "1" 90 "0" "3" 0 9 0 10 0 0 0 2 1 1
"562" 71 "1" 71 "0" "3" 1 2 2 3 3 2 3 6 1 1
"563" 80 "2" 2 "5" "3" 10 5 5 6 5 8 8 10 1 2
"564" 80 "2" 2 "5" "3" 10 5 5 6 5 8 8 10 1 2
"565" 80 "2" 2 "5" "3" 10 5 5 6 5 8 8 10 1 2
"566" 80 "2" 2 "5" "3" 10 5 5 6 5 8 8 10 1 2
"567" 60 "1" 60 "0" "2" 8 9 3 5 1 3 3 10 1 1
"568" 60 "1" 60 "0" "3" 10 8 9 7 9 10 10 10 1 1
"569" 73 "2" 2 "3" "3" 9 8 8 6 9 10 10 10 2 1
"570" 61 "1" 61 "0" "3" 10 10 10 8 10 10 10 10 1 1
"571" 54 "1" 54 "0" "2" 9 8 5 8 6 8 8 9 1 1
"572" 64 "1" 64 "0" "3" 9 9 9 9 9 9 9 10 1 1
"573" 41 "2" 2 "9" "2" 5 4 5 6 4 6 5 7 3 1
"574" 57 "2" 2 "9" "3" 10 10 10 10 10 0 0 10 1 1
"575" 42 "2" 2 "8" "3" 7 3 3 10 10 6 0 10 2 1
"576" 62 "1" 62 "0" "3" 7 9 3 10 8 8 7 10 1 1
"577" 33 "2" 2 "8" "2" 5 9 7 5 8 7 4 10 1 1
"578" 64 "1" 64 "0" "2" 10 10 10 10 10 10 10 9 2 1
"579" 73 "1" 73 "0" "3" 10 9 10 10 10 10 10 10 2 1
"580" 70 "1" 70 "0" "3" 9 8 8 8 8 8 8 10 1 1
"581" 53 "1" 53 "0" "2" 9 7 8 9 8 8 7 9 3 1
"582" 26 "1" 26 "0" "2" 9 8 10 9 9 8 6 10 1 1
"583" 40 "1" 40 "0" "2" 5 4 10 8 4 7 4 8 1 1
"584" 60 "1" 60 "0" "2" 7 5 8 9 7 7 6 8 3 1
"585" 58 "2" 2 "0" "2" 3 3 6 7 3 0 0 0 2 1
"586" 39 "1" 39 "0" "3" 9 8 6 9 7 7 7 8 2 1
"587" 33 "1" 33 "0" "3" 8 5 10 8 10 7 8 7 1 1
"588" 43 "1" 43 "0" "2" 9 9 7 6 0 7 6 7 1 1
"589" 63 "2" 2 "1" "2" 8 8 10 9 9 9 9 9 2 1
"590" 38 "1" 38 "0" "3" 8 9 6 4 9 3 4 9 2 1
"591" 79 "2" 2 "7" "3" 8 6 4 9 10 10 8 10 2 1
"592" 89 "1" 89 "0" "3" 8 3 7 8 10 9 10 8 2 1
"593" 68 "1" 68 "0" "3" 8 4 3 7 7 8 9 9 1 1
"594" 43 "1" 43 "0" "3" 9 5 8 8 9 8 9 10 2 1
"595" 72 "1" 72 "0" "3" 10 7 9 10 8 10 10 10 1 1
"596" 66 "1" 66 "0" "3" 7 9 2 8 8 3 3 9 3 1
"597" 63 "1" 63 "0" "3" 7 7 9 8 9 8 8 9 2 1
"598" 52 "2" 2 "7" "3" 9 3 6 9 9 1 1 10 3 1
"599" 50 "1" 50 "0" "3" 9 8 2 7 2 8 9 10 1 1
"600" 29 "1" 29 "0" "2" 4 0 10 6 0 5 5 1 2 1
"601" 30 "2" 2 "3" "2" 7 4 7 5 10 7 6 9 1 1
"602" 39 "2" 2 "3" "3" 5 5 5 5 5 7 8 10 3 1
"603" 41 "1" 41 "0" "2" 10 10 10 10 10 10 10 10 1 1
"604" 41 "1" 41 "0" "2" 7 5 7 7 8 8 8 8 2 1
"605" 44 "1" 44 "0" "3" 10 8 10 9 9 10 10 10 2 1
"606" 50 "2" 2 "3" "3" 10 9 10 10 1 10 10 10 2 1
"607" 33 "2" 2 "8" "3" 6 2 10 8 7 6 6 7 4 1
"608" 38 "2" 2 "3" "2" 10 10 10 10 10 10 10 10 3 1
"609" 54 "1" 54 "0" "3" 8 4 8 8 6 8 8 9 2 1
"610" 58 "1" 58 "0" "2" 10 5 3 10 5 6 6 10 1 1
"611" 30 "2" 2 "10" "2" 5 3 5 9 5 3 3 10 2 1
"612" 61 "1" 61 "0" "2" 5 9 5 7 4 0 0 7 1 1
"613" 69 "1" 69 "0" "3" 8 8 7 7 9 8 8 8 1 1
"614" 29 "1" 29 "0" "2" 9 8 8 8 9 9 9 8 2 1
"615" 64 "1" 64 "0" "3" 8 3 7 3 3 8 7 7 2 1
"616" 30 "1" 30 "0" "2" 8 7 9 3 6 6 6 7 3 1
"617" 28 "1" 28 "0" "2" 8 4 9 9 8 6 5 8 2 1
"618" 70 "1" 70 "0" "2" 10 10 10 10 10 10 10 10 1 1
"619" 51 "2" 2 "8" "2" 10 7 10 8 10 10 10 10 2 1
"620" 36 "1" 36 "0" "3" 10 10 8 10 10 10 10 10 2 1
"621" 27 "1" 27 "0" "2" 10 5 10 6 5 7 10 10 1 1
"622" 54 "1" 54 "0" "2" 8 6 4 6 7 7 6 8 1 1
"623" 50 "1" 50 "0" "2" 7 7 8 5 0 8 5 10 1 1
"624" 47 "1" 47 "0" "2" 10 8 10 10 10 10 8 8 1 1
"625" 51 "1" 51 "0" "2" 7 3 3 8 6 8 9 9 3 1
"626" 38 "2" 2 "8" "3" 8 8 7 7 9 9 7 10 1 1
"627" 56 "1" 56 "0" "2" 9 7 7 4 9 9 9 10 3 3
"628" 56 "1" 56 "0" "2" 9 7 7 4 9 9 9 10 3 3
"629" 56 "1" 56 "0" "2" 9 7 7 4 9 9 9 10 3 3
"630" 56 "1" 56 "0" "2" 9 7 7 4 9 9 9 10 3 3
"631" 56 "1" 56 "0" "2" 9 7 7 4 9 9 9 10 3 3
"632" 56 "1" 56 "0" "2" 9 7 7 4 9 9 9 10 3 3
"633" 56 "1" 56 "0" "2" 9 7 7 4 9 9 9 10 3 3
"634" 56 "1" 56 "0" "2" 9 7 7 4 9 9 9 10 3 3
"635" 56 "1" 56 "0" "2" 9 7 7 4 9 9 9 10 3 3
"636" 54 "1" 54 "0" "3" 10 7 6 6 8 6 6 10 1 1
"637" 36 "2" 2 "8" "2" 7 1 7 7 7 5 10 10 2 1
"638" 29 "2" 2 "1" "3" 6 9 8 10 5 7 7 10 1 1
"639" 61 "1" 61 "0" "3" 8 7 8 10 7 8 10 9 2 1
"640" 78 "2" 2 "9" "3" 8 8 7 10 8 7 7 10 1 1
"641" 36 "2" 2 "1" "1" 6 5 8 9 7 8 8 10 3 1
"642" 42 "2" 2 "1" "3" 9 9 9 9 9 9 9 9 2 1
"643" 36 "2" 2 "9" "3" 10 7 7 8 8 10 10 10 1 1
"644" 42 "2" 2 "1" "3" 6 5 8 6 8 8 6 10 2 1
"645" 60 "1" 60 "0" "3" 8 9 10 7 8 8 7 8 2 1
"646" 48 "1" 48 "0" "3" 8 8 9 9 8 8 9 10 2 1
"647" 52 "2" 2 "5" "3" 10 8 9 10 8 10 8 10 2 1
"648" 38 "1" 38 "0" "2" 9 8 9 9 8 10 10 9 2 1
"649" 33 "2" 2 "3" "2" 8 8 10 7 2 8 6 10 2 1
"650" 22 "1" 22 "0" "2" 6 5 9 8 0 4 6 10 2 1
"651" 41 "1" 41 "0" "2" 9 6 8 8 9 7 8 8 1 1
"652" 36 "1" 36 "0" "3" 8 8 8 8 1 9 10 10 1 1
"653" 81 "2" 2 "5" "3" 10 10 8 10 10 10 10 10 2 1
"654" 57 "1" 57 "0" "3" 10 10 10 10 10 10 10 10 1 1
"655" 60 "1" 60 "0" "3" 9 9 10 10 10 9 9 10 1 1
"656" 75 "1" 75 "0" "3" 10 10 10 10 10 5 5 6 1 1
"657" 31 "1" 31 "0" "3" 0 9 10 10 0 0 0 1 2 1
"658" 93 "2" 2 "10" "3" 8 8 5 9 5 10 10 7 1 1
"659" 44 "2" 2 "3" "2" 10 0 10 10 9 10 10 10 1 1
"660" 25 "1" 25 "0" "2" 10 8 10 7 7 9 10 10 1 1
"661" 31 "1" 31 "0" "3" 9 9 9 9 8 8 9 8 2 1
"662" 69 "2" 2 "9" "3" 9 9 8 8 7 8 8 10 2 1
"663" 24 "1" 24 "0" "2" 9 4 9 9 9 8 9 9 2 1
"664" 58 "2" 2 "8" "3" 10 10 5 10 10 10 10 10 1 1
"665" 70 "1" 70 "0" "3" 6 7 7 9 8 6 7 7 1 1
"666" 44 "1" 44 "0" "3" 10 8 10 10 10 10 10 10 1 1
"667" 34 "2" 2 "7" "2" 10 8 10 8 10 10 10 10 1 1
"668" 41 "2" 2 "8" "2" 10 5 10 10 9 0 5 10 1 1
"669" 60 "2" 2 "8" "3" 10 5 10 10 10 10 10 10 3 1
"670" 35 "1" 35 "0" "3" 5 4 9 4 4 6 5 8 3 1
"671" 38 "1" 38 "0" "2" 9 8 8 9 8 8 8 10 2 1
"672" 73 "2" 2 "3" "3" 6 9 6 2 7 2 2 8 1 1
"673" 45 "2" 2 "3" "2" 9 9 9 3 8 6 8 9 4 1
"674" 58 "1" 58 "0" "3" 8 9 8 7 8 8 8 9 1 1
"675" 47 "1" 47 "0" "2" 8 9 8 3 8 6 8 10 2 1
"676" 89 "1" 89 "0" "3" 10 10 10 10 10 10 10 10 2 1
"677" 74 "1" 74 "0" "3" 10 10 10 10 7 10 10 10 3 1
"678" 70 "1" 70 "0" "3" 10 10 10 10 10 10 10 10 1 1
"679" 63 "2" 2 "0" "3" 9 9 9 9 8 1 1 9 2 1
"680" 50 "1" 50 "0" "2" 9 8 9 8 7 7 7 8 1 1
"681" 64 "1" 64 "0" "2" 8 5 6 5 6 5 5 6 2 2
"682" 64 "1" 64 "0" "2" 8 5 6 5 6 5 5 6 2 2
"683" 64 "1" 64 "0" "2" 8 5 6 5 6 5 5 6 2 2
"684" 64 "1" 64 "0" "2" 8 5 6 5 6 5 5 6 2 2
"685" 30 "1" 30 "0" "2" 8 7 6 6 5 10 8 7 1 1
"686" 31 "1" 31 "0" "2" 7 7 7 7 7 8 8 7 3 1
"687" 75 "1" 75 "0" "2" 8 9 10 8 9 7 5 8 2 1
"688" 48 "1" 48 "0" "2" 9 9 9 9 9 9 9 10 1 1
"689" 42 "1" 42 "0" "2" 8 8 8 8 8 8 8 8 4 1
"690" 58 "1" 58 "0" "2" 9 7 8 6 9 10 8 10 3 1
"691" 53 "1" 53 "0" "2" 9 8 7 7 7 8 7 8 1 1
"692" 39 "2" 2 "7" "2" 9 7 9 9 9 9 9 9 3 1
"693" 60 "1" 60 "0" "3" 10 10 10 10 10 10 10 10 2 1
"694" 37 "1" 37 "0" "2" 10 10 10 10 10 10 10 10 2 1
"695" 57 "1" 57 "0" "2" 8 8 8 7 8 7 6 9 1 1
"696" 61 "1" 61 "0" "3" 8 9 9 9 8 9 8 8 1 1
"697" 56 "1" 56 "0" "3" 10 9 8 7 8 10 10 10 1 1
"698" 78 "1" 78 "0" "3" 5 5 6 5 10 10 10 10 1 1
"699" 30 "1" 30 "0" "3" 8 9 10 10 0 6 7 10 1 2
"700" 30 "1" 30 "0" "3" 8 9 10 10 0 6 7 10 1 2
"701" 30 "1" 30 "0" "3" 8 9 10 10 0 6 7 10 1 2
"702" 30 "1" 30 "0" "3" 8 9 10 10 0 6 7 10 1 2
"703" 45 "1" 45 "0" "2" 7 2 7 6 3 5 5 8 1 1
"704" 43 "1" 43 "0" "2" 9 6 6 3 8 5 4 7 3 2
"705" 43 "1" 43 "0" "2" 9 6 6 3 8 5 4 7 3 2
"706" 43 "1" 43 "0" "2" 9 6 6 3 8 5 4 7 3 2
"707" 43 "1" 43 "0" "2" 9 6 6 3 8 5 4 7 3 2
"708" 79 "1" 79 "0" "3" 9 8 7 8 0 9 9 10 2 1
"709" 84 "1" 84 "0" "3" 7 6 6 6 0 9 10 8 1 1
"710" 53 "1" 53 "0" "3" 7 6 6 9 5 7 7 9 1 1
"711" 40 "1" 40 "0" "2" 8 6 9 10 7 9 10 10 3 1
"712" 41 "1" 41 "0" "2" 9 0 6 10 2 1 1 10 4 1
"713" 43 "1" 43 "0" "2" 9 8 7 6 7 9 10 10 2 1
"714" 44 "2" 2 "10" "2" 7 4 8 8 9 10 8 9 1 1
"715" 42 "2" 2 "10" "2" 5 5 6 7 5 6 5 9 2 1
